"","SiteId","Site Name","Report Date","Time Period Ending","Time Interval","0 - 520 cm","521 - 660 cm","661 - 1160 cm","1160+ cm","0 - 10 mph","11 - 15 mph","16 - 20 mph","21 - 25 mph","26 - 30 mph","31 - 35 mph","36 - 40 mph","41 - 45 mph","46 - 50 mph","51 - 55 mph","56 - 60 mph","61 - 70 mph","71 - 80 mph","80+ mph","Avg mph","Total Volume","Name","Longitude","Latitude","Status"
"18",6867,30361338,2021-05-01,04:29:00,17,5,0,2,1,0,0,0,0,0,2,3,3,0,0,0,0,0,0,37,8,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"19",6867,30361338,2021-05-01,04:44:00,18,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,2,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"20",6867,30361338,2021-05-01,04:59:00,19,1,0,1,3,0,0,0,0,2,0,1,1,0,1,0,0,0,0,35,5,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"21",6867,30361338,2021-05-01,05:14:00,20,6,0,1,4,0,0,0,0,4,2,4,0,1,0,0,0,0,0,32,11,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"22",6867,30361338,2021-05-01,05:29:00,21,5,0,0,3,0,0,0,0,2,2,1,2,1,0,0,0,0,0,34,8,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"23",6867,30361338,2021-05-01,05:44:00,22,16,1,3,3,0,0,0,0,7,12,1,1,1,1,0,0,0,0,32,23,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"24",6867,30361338,2021-05-01,05:59:00,23,15,1,1,2,0,0,0,0,5,9,2,2,1,0,0,0,0,0,32,19,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"25",6867,30361338,2021-05-01,06:14:00,24,14,0,3,1,0,0,0,2,2,5,1,4,1,2,1,0,0,0,35,18,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"26",6867,30361338,2021-05-01,06:29:00,25,19,0,2,5,0,0,0,0,3,15,6,2,0,0,0,0,0,0,33,26,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"27",6867,30361338,2021-05-01,06:44:00,26,17,7,1,2,0,0,0,0,10,7,3,7,0,0,0,0,0,0,32,27,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"28",6867,30361338,2021-05-01,06:59:00,27,20,1,4,2,0,0,0,0,6,13,5,2,0,1,0,0,0,0,33,27,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"29",6867,30361338,2021-05-01,07:14:00,28,22,1,2,4,0,0,0,0,10,13,3,3,0,0,0,0,0,0,31,29,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"30",6867,30361338,2021-05-01,07:29:00,29,35,5,0,5,0,0,0,0,27,13,3,2,0,0,0,0,0,0,29,45,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"31",6867,30361338,2021-05-01,07:44:00,30,46,3,8,3,0,0,0,1,28,24,5,2,0,0,0,0,0,0,30,60,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"32",6867,30361338,2021-05-01,07:59:00,31,50,3,3,4,0,0,0,0,34,16,6,4,0,0,0,0,0,0,30,60,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"33",6867,30361338,2021-05-01,08:14:00,32,56,3,2,5,0,0,0,1,31,25,6,3,0,0,0,0,0,0,30,66,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
